,color_tags
1933,"['Beige', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
1934,"['Beige', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
1935,"['Beige', 'Black', 'Burgundy', 'Gold', 'Grey', 'Navy', 'Red', 'Silver', 'Transparent', 'Yellow']"
1936,"['Beige', 'Black', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
1937,"['Beige', 'Blue', 'Brown', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent']"
1938,"['Brown', 'Gold', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White']"
1939,"['Blue', 'Burgundy', 'Khaki', 'Silver', 'White', 'Yellow']"
1940,"['Beige', 'Brown', 'Green', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Transparent']"
1941,"['Brown', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
1942,"['Black', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Red', 'Yellow']"
1943,"['Beige', 'Brown', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Red', 'Transparent']"
1944,"['Beige', 'Black', 'Blue', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent']"
1945,"['Beige', 'Black', 'Blue', 'Brown', 'Burgundy', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Yellow']"
1946,"['Brown', 'Green', 'Grey', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
1947,"['Black', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
1948,"['Blue', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple']"
1949,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Pink', 'Purple']"
1950,"['Blue', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Orange', 'Purple', 'Red']"
1951,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'White']"
1952,"['Beige', 'Black', 'Brown', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
1953,"['Brown', 'Burgundy', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Transparent', 'Yellow']"
1954,"['Green', 'Multiple Colors', 'Pink', 'Red', 'Transparent', 'Yellow']"
1955,"['Green', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
1956,"['Blue', 'Burgundy', 'Grey', 'Navy', 'Orange', 'Pink', 'Purple', 'Yellow']"
1957,"['Blue', 'Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
1958,"['Brown', 'Gold', 'Multiple Colors', 'Purple', 'Red', 'White', 'Yellow']"
1959,"['Black', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Yellow']"
1960,"['Beige', 'Burgundy', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent']"
1961,"['Blue', 'Gold', 'Green', 'Grey', 'Transparent']"
1962,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent']"
1963,"['Black', 'Blue', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
1964,"['Black', 'Burgundy', 'Green', 'Khaki', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
1965,"['Beige', 'Gold', 'Khaki', 'Navy', 'Orange', 'Purple', 'White']"
1966,"['Blue', 'Brown', 'Gold', 'Grey', 'Orange', 'Purple', 'Silver', 'Yellow']"
1967,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Orange', 'Pink', 'Red', 'Silver', 'White']"
1968,"['Beige', 'Black', 'Brown', 'Gold', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
1969,"['Brown', 'Gold', 'Grey', 'Red', 'Silver', 'Yellow']"
1970,"['Blue', 'Gold', 'Khaki', 'Pink', 'Red', 'Silver', 'Yellow']"
1971,"['Brown', 'Burgundy', 'Khaki', 'Purple', 'Silver', 'Transparent', 'Yellow']"
1972,"['Beige', 'Blue', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
1973,"['Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Silver', 'Transparent', 'Yellow']"
1974,"['Brown', 'Gold', 'Multiple Colors', 'Purple', 'Red', 'Silver']"
1975,"['Beige', 'Brown', 'Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
1976,"['Beige', 'Brown', 'Burgundy', 'Grey', 'Khaki', 'Orange', 'Purple', 'Silver', 'Transparent', 'Yellow']"
1977,"['Gold', 'Grey', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
1978,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple']"
1979,"['Blue', 'Brown', 'Burgundy', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red']"
1980,"['Beige', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'White', 'Yellow']"
1981,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Silver', 'Yellow']"
1982,"['Beige', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Khaki', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
1983,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
1984,"['Brown', 'Burgundy', 'Grey', 'Red', 'Silver', 'Yellow']"
1985,"['Brown', 'Burgundy', 'Gold', 'Silver', 'Yellow']"
1986,"['Brown', 'Gold', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
1987,"['Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
1988,"['Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Purple', 'Red', 'White', 'Yellow']"
1989,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Pink', 'Purple', 'Red', 'Silver']"
1990,"['Beige', 'Black', 'Blue', 'Gold', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
1991,"['Beige', 'Burgundy', 'Gold', 'Green', 'Multiple Colors', 'Navy', 'Pink', 'Silver']"
1992,"['Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Transparent', 'Yellow']"
1993,"['Brown', 'Grey', 'Multiple Colors', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
1994,"['Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Red']"
1995,"['Beige', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Transparent', 'Yellow']"
1996,"['Blue', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Red']"
1997,"['Beige', 'Black', 'Brown', 'Burgundy', 'Gold', 'Khaki', 'Navy', 'Purple', 'Red', 'Transparent']"
1998,"['Burgundy', 'Gold', 'Green', 'Grey', 'Pink', 'Purple', 'Red', 'White']"
1999,"['Khaki', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
2000,"['Black', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Purple', 'Silver', 'White']"
2001,"['Beige', 'Black', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Orange', 'Purple', 'Silver', 'Transparent']"
2002,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Transparent', 'Yellow']"
2003,"['Beige', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Red', 'White']"
2004,"['Brown', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
2005,"['Gold', 'Grey', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
2006,"['Beige', 'Brown', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
2007,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Red', 'Transparent']"
2008,"['Gold', 'Grey', 'Khaki', 'Orange', 'Purple', 'Red', 'Transparent']"
2009,"['Black', 'Gold', 'Multiple Colors', 'Pink', 'Purple', 'Transparent', 'White', 'Yellow']"
2010,"['Black', 'Brown', 'Gold', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
2011,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Red', 'Silver', 'Yellow']"
2012,"['Brown', 'Grey', 'Khaki', 'Purple', 'Silver', 'Yellow']"
2013,"['Green', 'Orange', 'Pink', 'Purple', 'Red']"
2014,"['Burgundy', 'Green', 'Khaki', 'Orange', 'Pink', 'Purple', 'Silver']"
2015,"['Beige', 'Blue', 'Burgundy', 'Gold', 'Khaki', 'Purple', 'Red', 'Silver', 'Transparent', 'White']"
2016,"['Orange', 'Pink', 'Red', 'Silver']"
2017,"['Beige', 'Brown', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Silver', 'Transparent', 'White']"
2018,"['Brown', 'Khaki', 'Multiple Colors', 'Silver', 'Yellow']"
2019,"['Beige', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red', 'Silver']"
2020,"['Beige', 'Brown', 'Green', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
2021,"['Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Transparent', 'Yellow']"
2022,"['Beige', 'Blue', 'Brown', 'Green', 'Grey', 'Navy', 'Purple', 'Transparent']"
2023,"['Blue', 'Gold', 'Khaki', 'Silver', 'White', 'Yellow']"
2024,"['Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Purple', 'Transparent', 'Yellow']"
2025,"['Black', 'Burgundy', 'Gold', 'Green', 'Grey', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
2026,"['Beige', 'Brown', 'Gold', 'Purple', 'Red', 'Transparent', 'White', 'Yellow']"
2027,"['Beige', 'Blue', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'White', 'Yellow']"
2028,"['Beige', 'Blue', 'Brown', 'Burgundy', 'Multiple Colors', 'Orange', 'Red', 'Silver', 'Transparent', 'Yellow']"
2029,"['Blue', 'Brown', 'Orange', 'Red', 'Silver', 'Yellow']"
2030,"['Beige', 'Black', 'Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Yellow']"
2031,"['Beige', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Transparent']"
2032,"['Beige', 'Black', 'Blue', 'Brown', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'White']"
2033,"['Black', 'Brown', 'Green', 'Grey', 'Khaki', 'Navy', 'Purple']"
2034,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent', 'White']"
2035,"['Black', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent']"
2036,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Navy', 'Pink', 'Purple', 'Red', 'Silver']"
2037,"['Beige', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Pink', 'Red', 'White', 'Yellow']"
2038,"['Brown', 'Gold', 'Grey', 'Pink', 'Red', 'Silver', 'Yellow']"
2039,"['Black', 'Blue', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Red', 'Yellow']"
2040,"['Brown', 'Gold', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'White']"
2041,"['Beige', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent']"
2042,"['Green', 'Multiple Colors', 'Pink', 'Red', 'White', 'Yellow']"
2043,"['Burgundy', 'Gold', 'Grey', 'Orange', 'Transparent']"
2044,"['Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'White', 'Yellow']"
2045,"['Brown', 'Grey', 'Orange', 'Pink', 'Purple', 'Red']"
2046,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Silver']"
2047,"['Green', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2048,"['Brown', 'Gold', 'Green', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver']"
2049,"['Burgundy', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Red', 'White']"
2050,"['Green', 'Pink', 'Red', 'Silver']"
2051,"['Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
2052,"['Black', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
2053,"['Black', 'Gold', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
2054,"['Brown', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Yellow']"
2055,"['Black', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent']"
2056,"['Beige', 'Black', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Transparent', 'Yellow']"
2057,"['Beige', 'Gold', 'Navy', 'Orange', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
2058,"['Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'Yellow']"
2059,"['Brown', 'Green', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
2060,"['Beige', 'Gold', 'Grey', 'Multiple Colors', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
2061,"['Black', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Orange', 'Yellow']"
2062,"['Beige', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Navy', 'Purple', 'Red', 'White']"
2063,"['Brown', 'Gold', 'Grey', 'Khaki', 'Purple', 'Silver', 'White', 'Yellow']"
2064,"['Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2065,"['Beige', 'Gold', 'Green', 'Grey', 'Khaki', 'Purple', 'Silver', 'Transparent']"
2066,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Transparent', 'Yellow']"
2067,"['Blue', 'Brown', 'Green', 'Khaki', 'Multiple Colors', 'Orange', 'Silver', 'Yellow']"
2068,"['Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Red', 'Transparent']"
2069,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Purple', 'Silver', 'Transparent', 'Yellow']"
2070,"['Beige', 'Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver']"
2071,"['Beige', 'Brown', 'Burgundy', 'Grey', 'Khaki', 'Purple', 'Red', 'Silver', 'White']"
2072,"['Black', 'Brown', 'Gold', 'Green', 'Khaki', 'Orange', 'Pink']"
2073,"['Black', 'Burgundy', 'Gold', 'Grey', 'Purple', 'Transparent']"
2074,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
2075,"['Beige', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
2076,"['Black', 'Blue', 'Burgundy', 'Green', 'Khaki', 'Pink', 'Purple', 'Silver']"
2077,"['Blue', 'Burgundy', 'Orange', 'Pink', 'Red', 'White', 'Yellow']"
2078,"['Beige', 'Blue', 'Gold', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
2079,"['Black', 'Burgundy', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'White', 'Yellow']"
2080,"['Blue', 'Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Transparent', 'Yellow']"
2081,"['Blue', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red', 'Transparent', 'Yellow']"
2082,"['Beige', 'Brown', 'Gold', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
2083,"['Brown', 'Gold', 'Green', 'Orange', 'Pink', 'Red', 'White', 'Yellow']"
2084,"['Brown', 'Grey', 'Khaki', 'Navy', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
2085,"['Burgundy', 'Gold', 'Green', 'Grey', 'Navy', 'Orange', 'Purple', 'Red', 'Transparent', 'White']"
2086,"['Beige', 'Black', 'Gold', 'Navy', 'Purple', 'White']"
2087,"['Brown', 'Green', 'Grey', 'Orange', 'Purple', 'Red', 'White']"
2088,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2089,"['Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
2090,"['Gold', 'Khaki', 'Orange', 'Red', 'Silver', 'White', 'Yellow']"
2091,"['Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
2092,"['Black', 'Gold', 'Grey', 'Red', 'Transparent', 'Yellow']"
2093,"['Blue', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Transparent', 'Yellow']"
2094,"['Green', 'Grey', 'Khaki', 'Pink', 'Silver', 'Transparent', 'White']"
2095,"['Beige', 'Gold', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
2096,"['Beige', 'Brown', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Silver', 'Transparent', 'White', 'Yellow']"
2097,"['Brown', 'Gold', 'Grey', 'Pink', 'Silver', 'Yellow']"
2098,"['Blue', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'White']"
2099,"['Beige', 'Blue', 'Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
2100,"['Beige', 'Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Red', 'Transparent', 'Yellow']"
2101,"['Beige', 'Blue', 'Gold', 'Green', 'Khaki', 'Red', 'Silver', 'White', 'Yellow']"
2102,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Purple', 'Red', 'Silver']"
2103,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
2104,"['Blue', 'Brown', 'Grey', 'Multiple Colors', 'Orange', 'Red', 'Silver']"
2105,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Navy', 'Pink', 'Purple', 'Red', 'Yellow']"
2106,"['Beige', 'Blue', 'Brown', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
2107,"['Beige', 'Gold', 'Green', 'Khaki', 'Navy', 'Orange', 'Purple', 'Red', 'White']"
2108,"['Burgundy', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
2109,"['Beige', 'Gold', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
2110,"['Black', 'Brown', 'Green', 'Khaki', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
2111,"['Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Transparent', 'Yellow']"
2112,"['Beige', 'Black', 'Blue', 'Burgundy', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
2113,"['Beige', 'Black', 'Blue', 'Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Silver', 'Transparent']"
2114,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Red', 'Silver', 'Yellow']"
2115,"['Blue', 'Burgundy', 'Gold', 'Khaki', 'Pink', 'Silver', 'White']"
2116,"['Brown', 'Grey', 'Orange', 'Pink', 'Silver', 'Yellow']"
2117,"['Beige', 'Black', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2118,"['Burgundy', 'Gold', 'Khaki', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
2119,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
2120,"['Black', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2121,"['Blue', 'Brown', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
2122,"['Black', 'Brown', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Transparent']"
2123,"['Black', 'Brown', 'Grey', 'Red', 'Silver', 'Transparent', 'Yellow']"
2124,"['Brown', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
2125,"['Brown', 'Burgundy', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
2126,"['Blue', 'Brown', 'Gold', 'Khaki', 'Pink', 'Silver', 'White', 'Yellow']"
2127,"['Brown', 'Pink', 'Purple', 'Red', 'Silver']"
2128,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Orange', 'Pink', 'Silver', 'Yellow']"
2129,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
2130,"['Beige', 'Blue', 'Burgundy', 'Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
2131,"['Black', 'Burgundy', 'Grey', 'Khaki', 'Navy', 'Purple', 'Silver', 'Transparent', 'White']"
2132,"['Black', 'Brown', 'Green', 'Orange', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
2133,"['Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Transparent']"
2134,"['Black', 'Brown', 'Grey', 'Multiple Colors', 'Purple', 'Red', 'Transparent', 'Yellow']"
2135,"['Brown', 'Gold', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
2136,"['Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Purple', 'Red', 'Silver']"
2137,"['Black', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Silver']"
2138,"['Brown', 'Gold', 'Orange', 'Red', 'Silver', 'White', 'Yellow']"
2139,"['Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
2140,"['Beige', 'Black', 'Blue', 'Gold', 'Green', 'Grey', 'Khaki', 'Purple', 'Transparent', 'Yellow']"
2141,"['Beige', 'Gold', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
2142,"['Beige', 'Brown', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White']"
2143,"['Grey', 'Orange', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
2144,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red']"
2145,"['Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red']"
2146,"['Black', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Transparent']"
2147,"['Beige', 'Brown', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
2148,"['Brown', 'Burgundy', 'Pink', 'Purple', 'Silver', 'White']"
2149,"['Beige', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Purple', 'Silver', 'White', 'Yellow']"
2150,"['Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
2151,"['Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
2152,"['Brown', 'Gold', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
2153,"['Beige', 'Brown', 'Gold', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2154,"['Beige', 'Black', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Pink', 'Purple', 'Transparent', 'Yellow']"
2155,"['Beige', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent']"
2156,"['Beige', 'Gold', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Transparent', 'White', 'Yellow']"
2157,"['Black', 'Burgundy', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2158,"['Brown', 'Gold', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
2159,"['Brown', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
2160,"['Beige', 'Blue', 'Burgundy', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
2161,"['Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
2162,"['Beige', 'Brown', 'Grey', 'Multiple Colors', 'Purple', 'Transparent']"
2163,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red']"
2164,"['Beige', 'Brown', 'Gold', 'Grey', 'Khaki', 'Orange', 'Purple', 'Red', 'Transparent', 'White']"
